point_id,u_und,v_und
0,1665.9703369140625,981.184814453125
1,1763.0941162109375,994.3496704101562
2,1850.835205078125,1004.9340209960938
3,1934.32177734375,1014.5422973632812
4,2013.016845703125,1023.2805786132812
5,2088.288330078125,1031.2127685546875
6,2159.684814453125,1037.905517578125
7,2227.1796875,1044.243896484375
8,2291.41796875,1049.975341796875
9,2353.30810546875,1055.1416015625
10,2411.394287109375,1059.98095703125
11,2468.092529296875,1064.330810546875
12,2522.2548828125,1068.4510498046875
13,2572.8330078125,1071.53515625
14,1669.4237060546875,1086.468017578125
15,1763.538330078125,1095.19677734375
16,1851.2318115234375,1102.7041015625
17,1934.682861328125,1109.0518798828125
18,2013.7281494140625,1115.093017578125
19,2088.90625,1119.8131103515625
20,2159.9931640625,1124.1407470703125
21,2227.4658203125,1128.1351318359375
22,2292.287353515625,1131.6292724609375
23,2353.482177734375,1134.6962890625
24,2412.68212890625,1137.744873046875
25,2468.705810546875,1140.0379638671875
26,2522.0771484375,1142.44091796875
27,2573.314208984375,1145.052734375
28,1671.7869873046875,1189.997802734375
29,1764.5494384765625,1195.6278076171875
30,1852.0557861328125,1199.5975341796875
31,1935.6981201171875,1203.00732421875
32,2014.9075927734375,1205.87744140625
33,2089.83203125,1208.017333984375
34,2161.1845703125,1210.0386962890625
35,2228.686767578125,1211.732666015625
36,2292.839111328125,1212.960693359375
37,2354.92041015625,1214.134765625
38,2413.204345703125,1214.798095703125
39,2469.606201171875,1215.917236328125
40,2522.730712890625,1216.5133056640625
41,2575.0908203125,1218.18408203125
42,1674.6812744140625,1291.99072265625
43,1766.33349609375,1293.8653564453125
44,1854.2303466796875,1294.8798828125
45,1938.004150390625,1295.6510009765625
46,2016.7825927734375,1295.4638671875
47,2091.915771484375,1295.2615966796875
48,2163.13427734375,1295.074951171875
49,2229.90771484375,1294.292724609375
50,2294.983642578125,1293.3897705078125
51,2356.3037109375,1292.362548828125
52,2414.034912109375,1291.745361328125
53,2471.09375,1290.471435546875
54,2525.243408203125,1289.5401611328125
55,2576.26171875,1288.3831787109375
56,1677.9608154296875,1393.2183837890625
57,1769.7301025390625,1391.6871337890625
58,1857.4456787109375,1390.0098876953125
59,1940.945068359375,1388.0865478515625
60,2018.9925537109375,1385.831298828125
61,2094.6689453125,1382.8773193359375
62,2165.55810546875,1379.88232421875
63,2232.3251953125,1377.146728515625
64,2297.095703125,1374.201171875
65,2358.832275390625,1371.535400390625
66,2416.082275390625,1368.857177734375
67,2473.477783203125,1366.18017578125
68,2526.985107421875,1363.06396484375
69,2577.60205078125,1360.1617431640625
70,1682.6873779296875,1493.7093505859375
71,1773.986083984375,1489.1363525390625
72,1861.7579345703125,1484.4659423828125
73,1944.31982421875,1479.474609375
74,2022.8558349609375,1474.540283203125
75,2097.6728515625,1469.2193603515625
76,2168.47705078125,1464.443359375
77,2235.6015625,1459.41259765625
78,2299.73828125,1454.8094482421875
79,2361.455322265625,1449.8411865234375
80,2419.61376953125,1445.6607666015625
81,2475.958984375,1440.6517333984375
82,2528.90576171875,1436.8802490234375
83,2581.03515625,1432.7080078125
84,1688.738037109375,1592.3370361328125
85,1779.4404296875,1585.09375
86,1866.0792236328125,1577.1876220703125
87,1948.9066162109375,1569.675537109375
88,2027.3818359375,1562.34521484375
89,2102.396240234375,1555.113525390625
90,2172.752197265625,1547.838623046875
91,2239.532470703125,1541.0335693359375
92,2303.770263671875,1534.171630859375
93,2364.682373046875,1527.777587890625
94,2423.3134765625,1521.3582763671875
95,2479.491455078125,1515.2940673828125
96,2533.93017578125,1509.0765380859375
97,2584.455810546875,1503.8214111328125
98,1696.5008544921875,1690.8157958984375
99,1785.9559326171875,1680.3095703125
100,1872.1253662109375,1670.072021484375
101,1954.8890380859375,1660.1201171875
102,2032.81640625,1650.5289306640625
103,2107.147216796875,1640.7691650390625
104,2177.65234375,1631.52392578125
105,2244.66650390625,1622.61767578125
106,2308.456298828125,1614.1495361328125
107,2369.68896484375,1605.5467529296875
108,2427.859130859375,1598.01123046875
109,2483.562744140625,1590.1689453125
110,2537.76318359375,1582.271240234375
111,2588.5751953125,1575.47802734375
112,1705.4066162109375,1788.6712646484375
113,1794.8280029296875,1775.53466796875
114,1879.794189453125,1762.5028076171875
115,1962.2860107421875,1750.03857421875
116,2039.174560546875,1737.91015625
117,2113.005615234375,1726.275146484375
118,2183.725341796875,1714.677978515625
119,2250.291259765625,1703.967041015625
120,2314.23681640625,1693.347900390625
121,2375.447998046875,1683.5499267578125
122,2433.20458984375,1673.66455078125
123,2489.027587890625,1664.5550537109375
124,2542.376708984375,1655.478515625
125,2592.95654296875,1647.2847900390625
