point_id,x_fish,y_fish
0,1121.4273681640625,1644.37646484375
1,1103.1268310546875,1656.6287841796875
2,1082.3466796875,1670.134033203125
3,1059.2186279296875,1684.9202880859375
4,1034.0220947265625,1701.838623046875
5,1004.2308349609375,1721.0877685546875
6,971.4973754882812,1742.1678466796875
7,933.6406860351562,1767.04833984375
8,890.4957275390625,1795.0284423828125
9,841.5661010742188,1827.591064453125
10,785.3297119140625,1864.522216796875
11,720.5560302734375,1906.4820556640625
12,647.185546875,1956.1328125
13,1118.565673828125,1594.234619140625
14,1099.823974609375,1603.34716796875
15,1078.068603515625,1614.3515625
16,1054.7364501953125,1625.322265625
17,1028.1229248046875,1637.5479736328125
18,997.8358764648438,1653.09814453125
19,963.1231079101562,1669.578369140625
20,924.11962890625,1689.0059814453125
21,877.9126586914062,1711.443359375
22,825.7327270507812,1736.6964111328125
23,765.355224609375,1766.8699951171875
24,694.0270385742188,1801.9642333984375
25,613.2293090820312,1841.6187744140625
26,1115.7974853515625,1542.52294921875
27,1097.1280517578125,1548.2532958984375
28,1075.4031982421875,1555.4873046875
29,1051.1148681640625,1563.432861328125
30,1023.3478393554688,1572.2933349609375
31,992.1275634765625,1582.1385498046875
32,956.3401489257812,1594.2447509765625
33,915.829833984375,1606.7784423828125
34,868.4672241210938,1622.3294677734375
35,812.9983520507812,1640.3095703125
36,748.15673828125,1661.17431640625
37,673.1096801757812,1686.6973876953125
38,585.9819946289062,1716.3453369140625
39,1114.0244140625,1490.91064453125
40,1094.6922607421875,1493.2904052734375
41,1073.1260986328125,1496.7401123046875
42,1048.50390625,1501.428955078125
43,1020.8560791015625,1505.68115234375
44,988.5386962890625,1510.491943359375
45,952.692138671875,1516.8682861328125
46,910.6363525390625,1523.095458984375
47,862.069580078125,1531.4014892578125
48,804.9962768554688,1541.0853271484375
49,737.9397583007812,1551.16552734375
50,659.8245849609375,1564.49658203125
51,567.2503051757812,1579.0360107421875
52,1112.8355712890625,1437.432861328125
53,1093.8489990234375,1437.951171875
54,1071.7078857421875,1437.5902099609375
55,1046.91552734375,1438.0660400390625
56,1019.6361694335938,1437.6859130859375
57,987.1365356445312,1437.2003173828125
58,950.3790283203125,1437.71142578125
59,908.6959228515625,1437.265869140625
60,859.7184448242188,1437.952392578125
61,801.2131958007812,1437.6064453125
62,734.403564453125,1437.4691162109375
63,655.40234375,1437.665771484375
64,560.7783813476562,1437.0606689453125
65,1113.111328125,1384.884033203125
66,1093.7418212890625,1381.9080810546875
67,1071.6500244140625,1378.546875
68,1046.4259033203125,1373.8759765625
69,1019.7517700195312,1369.87744140625
70,988.0078125,1364.2310791015625
71,950.8309936523438,1358.78662109375
72,909.42919921875,1351.7860107421875
73,860.8524780273438,1343.8018798828125
74,803.8115844726562,1334.7249755859375
75,736.9493408203125,1324.4927978515625
76,659.3455200195312,1311.8243408203125
77,566.2396850585938,1296.3714599609375
78,1113.5531005859375,1334.259521484375
79,1093.91796875,1327.037109375
80,1072.4732666015625,1320.069091796875
81,1048.0406494140625,1311.4146728515625
82,1020.6412963867188,1302.7750244140625
83,989.2775268554688,1293.0694580078125
84,953.3489990234375,1281.1636962890625
85,912.7701416015625,1267.9444580078125
86,865.318359375,1252.875732421875
87,809.9418334960938,1234.571044921875
88,745.452392578125,1213.8798828125
89,670.416259765625,1189.3709716796875
90,583.3917846679688,1161.2314453125
91,1114.673583984375,1281.246337890625
92,1095.2801513671875,1272.2647705078125
93,1074.1895751953125,1261.7637939453125
94,1050.6387939453125,1251.088623046875
95,1023.3551635742188,1237.21875
96,993.3187255859375,1223.0450439453125
97,958.439208984375,1206.0020751953125
98,919.2169799804688,1187.1444091796875
99,873.7012939453125,1164.7154541015625
100,820.8697509765625,1139.3563232421875
101,761.1954956054688,1108.946533203125
102,689.9061279296875,1074.3197021484375
103,609.4740600585938,1034.96484375
104,1116.3778076171875,1230.0186767578125
105,1098.1990966796875,1219.0404052734375
106,1077.1490478515625,1205.8560791015625
107,1053.7874755859375,1190.6094970703125
108,1027.7706298828125,1173.90673828125
109,998.1881103515625,1155.3197021484375
110,965.3247680664062,1133.0733642578125
111,927.857177734375,1109.27197265625
112,884.7003784179688,1081.491943359375
113,836.0134887695312,1049.71875
114,779.19287109375,1012.7998046875
115,714.3114624023438,970.028076171875
116,641.1370849609375,923.4022216796875
