point_id,u_und,v_und
0,1706.827880859375,993.175537109375
1,1810.5972900390625,1001.2135620117188
2,1905.422607421875,1007.3696899414062
3,1996.498779296875,1012.9285278320312
4,2084.0361328125,1017.9038696289062
5,2169.182373046875,1022.43017578125
6,2251.83935546875,1025.938720703125
7,2331.7060546875,1029.6153564453125
8,2409.316650390625,1032.78125
9,2485.615478515625,1035.5550537109375
10,2558.768798828125,1038.212158203125
11,2631.154296875,1040.4501953125
12,2701.69384765625,1042.72412109375
13,2768.890380859375,1044.1116943359375
14,1710.8082275390625,1097.484375
15,1811.1314697265625,1102.6971435546875
16,1905.4058837890625,1107.04638671875
17,1996.2152099609375,1110.5396728515625
18,2083.77001953125,1113.926513671875
19,2169.078857421875,1116.2027587890625
20,2251.4453125,1118.42578125
21,2331.497802734375,1120.441650390625
22,2409.983154296875,1122.124755859375
23,2485.528076171875,1123.5087890625
24,2559.9287109375,1125.0523681640625
25,2631.90869140625,1125.8350830078125
26,2701.691162109375,1127.112548828125
27,2769.884521484375,1128.29150390625
28,1713.11572265625,1200.4530029296875
29,1811.68896484375,1204.087158203125
30,1905.305908203125,1206.1260986328125
31,1996.1414794921875,1207.8861083984375
32,2084.038818359375,1209.0609130859375
33,2169.13623046875,1209.966552734375
34,2252.06298828125,1210.616943359375
35,2332.13525390625,1211.2364501953125
36,2409.881103515625,1211.39794921875
37,2486.57763671875,1211.68310546875
38,2560.28369140625,1211.298583984375
39,2632.67578125,1211.7039794921875
40,2702.086669921875,1211.3575439453125
41,2771.189697265625,1211.9197998046875
42,1715.307373046875,1302.3438720703125
43,1812.5411376953125,1303.5413818359375
44,1906.3184814453125,1303.9564208984375
45,1997.1890869140625,1304.1002197265625
46,2084.7822265625,1303.4888916015625
47,2170.217529296875,1302.7222900390625
48,2253.04052734375,1302.241943359375
49,2332.583251953125,1301.03076171875
50,2411.708251953125,1299.9207763671875
51,2487.61865234375,1298.5723876953125
52,2560.431640625,1297.64111328125
53,2633.803466796875,1296.049072265625
54,2704.390380859375,1294.767333984375
55,2772.50927734375,1293.224853515625
56,1717.2896728515625,1403.7786865234375
57,1814.4248046875,1402.9366455078125
58,1907.986083984375,1401.8116455078125
59,1998.7100830078125,1400.4246826171875
60,2085.69970703125,1398.6339111328125
61,2171.90234375,1396.2220458984375
62,2254.594970703125,1393.6798095703125
63,2334.296630859375,1391.534423828125
64,2413.163330078125,1388.8780517578125
65,2489.67529296875,1386.6448974609375
66,2562.07958984375,1384.1376953125
67,2635.873291015625,1381.9312744140625
68,2706.012451171875,1378.798583984375
69,2773.8232421875,1376.15576171875
70,1720.09033203125,1504.916259765625
71,1816.6849365234375,1502.2423095703125
72,1910.4195556640625,1499.3712158203125
73,2000.4251708984375,1496.033935546875
74,2088.10009765625,1492.69482421875
75,2173.529052734375,1488.7230224609375
76,2256.43505859375,1485.3978271484375
77,2336.800537109375,1481.46435546875
78,2414.84228515625,1477.9637451171875
79,2491.51904296875,1473.864501953125
80,2565.424560546875,1470.892333984375
81,2637.944580078125,1466.48291015625
82,2707.713134765625,1463.3597412109375
83,2777.156005859375,1459.87646484375
84,1723.560302734375,1604.3907470703125
85,1819.79931640625,1600.3841552734375
86,1912.7117919921875,1595.4248046875
87,2003.2978515625,1590.759765625
88,2090.893310546875,1585.8179931640625
89,2176.206787109375,1580.9248046875
90,2259.418212890625,1575.803955078125
91,2339.471435546875,1570.892333984375
92,2418.12890625,1565.86328125
93,2494.12109375,1561.2110595703125
94,2568.35302734375,1556.1304931640625
95,2641.007080078125,1551.5545654296875
96,2712.349365234375,1546.53662109375
97,2779.94091796875,1542.040771484375
98,1728.161865234375,1704.24560546875
99,1823.7098388671875,1698.0538330078125
100,1916.473876953125,1691.9698486328125
101,2007.100341796875,1685.7376708984375
102,2094.517822265625,1679.77978515625
103,2179.923583984375,1673.14501953125
104,2262.8994140625,1666.886962890625
105,2343.38916015625,1660.7520751953125
106,2421.479248046875,1654.6695556640625
107,2498.0322265625,1648.162353515625
108,2572.0869140625,1642.750244140625
109,2644.330322265625,1636.675537109375
110,2715.44287109375,1630.65966796875
111,2783.771728515625,1625.2523193359375
112,1733.288818359375,1803.8154296875
113,1829.6024169921875,1796.2711181640625
114,1921.5552978515625,1788.30859375
115,2012.3895263671875,1780.8414306640625
116,2098.782470703125,1773.0440673828125
117,2184.041748046875,1765.522216796875
118,2267.313720703125,1757.5009765625
119,2347.455322265625,1750.36865234375
120,2425.964599609375,1742.7967529296875
121,2502.665283203125,1735.941162109375
122,2576.289794921875,1728.629150390625
123,2649.23193359375,1722.0184326171875
124,2719.69140625,1714.8084716796875
125,2787.985107421875,1708.5733642578125
