point_id,u_und,v_und
0,2458.190673828125,1658.45703125
1,2412.6416015625,1666.0828857421875
2,2365.29150390625,1674.16650390625
3,2315.458740234375,1682.1773681640625
4,2263.7275390625,1690.838623046875
5,2208.495849609375,1699.70751953125
6,2150.962646484375,1709.1827392578125
7,2090.281005859375,1718.743896484375
8,2025.85595703125,1729.1524658203125
9,1958.515380859375,1739.7542724609375
10,1887.9876708984375,1750.80810546875
11,1812.00927734375,1762.1844482421875
12,1729.420654296875,1774.57763671875
13,2455.53759765625,1591.8988037109375
14,2410.80029296875,1597.5732421875
15,2362.421142578125,1604.515625
16,2312.903564453125,1610.97314453125
17,2260.880126953125,1617.3729248046875
18,2205.63427734375,1624.753662109375
19,2148.056396484375,1632.01953125
20,2087.7939453125,1639.7900390625
21,2023.2315673828125,1647.8765869140625
22,1955.8843994140625,1656.4014892578125
23,1884.6231689453125,1664.815673828125
24,1807.671875,1673.685791015625
25,1725.5562744140625,1682.87548828125
26,2453.416259765625,1524.9727783203125
27,2408.888671875,1529.0440673828125
28,2360.5498046875,1534.1053466796875
29,2310.632080078125,1538.8719482421875
30,2258.169189453125,1544.0491943359375
31,2203.447021484375,1549.2357177734375
32,2145.445556640625,1554.8258056640625
33,2085.029052734375,1560.3157958984375
34,2021.0687255859375,1566.325927734375
35,1953.1356201171875,1572.2288818359375
36,1881.138427734375,1578.3997802734375
37,1804.9427490234375,1584.818115234375
38,1722.9632568359375,1591.51708984375
39,2451.361572265625,1458.5958251953125
40,2405.543212890625,1461.3076171875
41,2358.7880859375,1464.168212890625
42,2308.656005859375,1467.6912841796875
43,2256.79296875,1470.647705078125
44,2201.4638671875,1474.2744140625
45,2143.556884765625,1477.60498046875
46,2082.961669921875,1481.2974853515625
47,2018.7567138671875,1484.7249755859375
48,1951.193603515625,1488.728759765625
49,1879.0806884765625,1492.3544921875
50,1803.3529052734375,1496.120361328125
51,1720.499755859375,1499.47900390625
52,2449.272216796875,1390.9091796875
53,2404.8408203125,1392.5177001953125
54,2357.420654296875,1394.3773193359375
55,2306.619384765625,1395.656494140625
56,2255.5390625,1397.164794921875
57,2200.272216796875,1398.465087890625
58,2142.092041015625,1399.930908203125
59,2081.859130859375,1401.3919677734375
60,2017.8238525390625,1402.892578125
61,1948.892333984375,1404.4632568359375
62,1878.117919921875,1405.3026123046875
63,1801.50146484375,1405.947265625
64,1718.42236328125,1406.235107421875
65,2448.669921875,1323.99951171875
66,2403.916748046875,1323.86083984375
67,2355.997314453125,1323.5108642578125
68,2305.49951171875,1323.398681640625
69,2254.53125,1322.6182861328125
70,2199.59423828125,1322.30078125
71,2140.90625,1321.8917236328125
72,2080.78955078125,1321.15576171875
73,2016.6104736328125,1319.9266357421875
74,1949.005859375,1318.911865234375
75,1877.043701171875,1317.6103515625
76,1800.516357421875,1315.599365234375
77,1716.16357421875,1312.7889404296875
78,2447.877685546875,1258.6749267578125
79,2401.864990234375,1255.7564697265625
80,2355.03955078125,1253.8514404296875
81,2305.116943359375,1251.47021484375
82,2253.3876953125,1249.3629150390625
83,2197.955078125,1246.8212890625
84,2140.466552734375,1244.2257080078125
85,2079.89111328125,1241.150634765625
86,2015.650146484375,1237.639404296875
87,1948.171142578125,1234.18017578125
88,1876.1019287109375,1229.9281005859375
89,1798.9134521484375,1225.137451171875
90,1713.8304443359375,1219.1141357421875
91,2447.38037109375,1190.3411865234375
92,2401.342041015625,1186.7452392578125
93,2354.312744140625,1183.122802734375
94,2304.953369140625,1179.5599365234375
95,2252.25341796875,1175.120849609375
96,2197.80810546875,1170.7174072265625
97,2140.0390625,1165.828857421875
98,2079.608642578125,1160.5035400390625
99,2015.8636474609375,1154.8499755859375
100,1948.101806640625,1148.802734375
101,1876.89599609375,1141.3416748046875
102,1798.09912109375,1133.4981689453125
103,1709.767822265625,1123.265869140625
104,2445.834228515625,1122.439208984375
105,2401.632568359375,1118.15771484375
106,2354.158203125,1112.702880859375
107,2304.323486328125,1107.1279296875
108,2252.4111328125,1100.965576171875
109,2197.427001953125,1094.5653076171875
110,2140.214599609375,1087.4530029296875
111,2080.064697265625,1079.9884033203125
112,2016.172607421875,1072.07275390625
113,1948.7777099609375,1062.6573486328125
114,1876.0614013671875,1052.7857666015625
115,1796.297607421875,1041.136474609375
116,1702.1883544921875,1026.540283203125
